Price,Close,High,Low,Open,Volume
Ticker,ALFEN.AS,ALFEN.AS,ALFEN.AS,ALFEN.AS,ALFEN.AS
Date,,,,,
2025-06-09,10.875,10.949999809265137,10.729999542236328,10.75,174018
2025-06-10,11.074999809265137,11.109999656677246,10.739999771118164,10.899999618530273,345635
2025-06-11,11.119999885559082,11.380000114440918,11.050000190734863,11.100000381469727,353421
2025-06-12,11.050000190734863,11.149999618530273,10.920000076293945,11.119999885559082,201089
2025-06-13,10.755000114440918,10.885000228881836,10.65999984741211,10.795000076293945,346802
2025-06-16,10.760000228881836,10.835000038146973,10.699999809265137,10.800000190734863,120166
2025-06-17,10.529999732971191,10.75,10.529999732971191,10.75,156187
2025-06-18,10.40999984741211,10.539999961853027,10.335000038146973,10.5,269657
2025-06-19,10.074999809265137,10.34000015258789,10.0600004196167,10.329999923706055,243255
2025-06-20,10.015000343322754,10.234999656677246,9.970000267028809,10.199999809265137,268575
2025-06-23,9.968000411987305,10.074999809265137,9.906000137329102,9.960000038146973,192484
2025-06-24,10.289999961853027,10.295000076293945,10.0,10.210000038146973,239563
2025-06-25,10.420000076293945,10.579999923706055,10.260000228881836,10.34000015258789,285077
2025-06-26,10.479999542236328,10.59000015258789,10.305000305175781,10.46500015258789,160786
2025-06-27,10.630000114440918,10.8149995803833,10.515000343322754,10.529999732971191,288208
2025-06-30,10.399999618530273,10.71500015258789,10.350000381469727,10.71500015258789,164249
2025-07-01,10.399999618530273,10.4350004196167,10.3149995803833,10.399999618530273,110110
2025-07-02,10.78499984741211,10.925000190734863,10.324999809265137,10.375,435862
2025-07-03,10.859999656677246,10.949999809265137,10.699999809265137,10.845000267028809,287091
2025-07-04,10.46500015258789,10.8100004196167,10.46500015258789,10.8100004196167,279859
2025-07-07,10.475000381469727,10.600000381469727,10.364999771118164,10.46500015258789,131947
2025-07-08,10.34000015258789,10.520000457763672,10.225000381469727,10.5,235782
2025-07-09,10.324999809265137,10.414999961853027,10.279999732971191,10.34000015258789,140873
2025-07-10,10.774999618530273,10.850000381469727,10.244999885559082,10.255000114440918,394767
2025-07-11,10.630000114440918,10.765000343322754,10.614999771118164,10.725000381469727,133367
2025-07-14,10.524999618530273,10.619999885559082,10.4350004196167,10.505000114440918,121707
2025-07-15,10.779999732971191,10.970000267028809,10.550000190734863,10.550000190734863,324461
2025-07-16,10.359999656677246,10.800000190734863,10.359999656677246,10.760000228881836,234349
2025-07-17,10.739999771118164,10.800000190734863,10.475000381469727,10.5649995803833,188296
2025-07-18,10.824999809265137,10.9350004196167,10.6850004196167,10.779999732971191,163815
2025-07-21,10.670000076293945,10.984999656677246,10.625,10.819999694824219,183240
2025-07-22,10.71500015258789,10.779999732971191,10.444999694824219,10.779999732971191,201146
2025-07-23,10.9350004196167,11.09000015258789,10.800000190734863,10.800000190734863,361348
2025-07-24,11.529999732971191,11.75,10.975000381469727,11.109999656677246,644395
2025-07-25,11.520000457763672,11.604999542236328,11.335000038146973,11.449999809265137,168216
